time,Median,98th percentile (slowest 2%)
2018-06-03 07:12:44,210.40505263157894,1614.8070399999992
2018-06-03 07:13:44,209.71519999999998,1971.3228799999997
2018-06-03 07:14:44,202.56581818181817,1845.4937599999996
2018-06-03 07:15:44,206.9557894736842,1593.8355199999994
2018-06-03 07:16:44,200.97706666666664,1866.4652799999992
2018-06-03 07:17:44,209.71519999999998,1988.1000960000001
2018-06-03 07:18:44,208.17317647058823,1887.4368000000006
2018-06-03 07:19:44,211.17155555555556,1866.4652799999992
2018-06-03 07:20:44,209.71519999999998,1929.3798399999998
2018-06-03 07:21:44,213.85431578947367,1929.3798399999998
2018-06-03 07:22:44,208.52363636363634,1824.5222400000002
2018-06-03 07:23:44,208.52363636363634,1824.5222400000002
2018-06-03 07:24:44,208.17317647058823,1677.7216000000012
