CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
7d71704d4fc3        producer3           0.39%               57.4MiB / 2GiB      2.80%               14.7MB / 1.43MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.02%               68.76MiB / 2GiB     3.36%               78.9MB / 628kB      549MB / 15.8MB      6
ea2d413f4413        storm               44.34%              677.5MiB / 2GiB     33.08%              75.8MB / 4.39MB     663MB / 68.2MB      155
283acd69188f        kafka               1.15%               376.5MiB / 2GiB     18.38%              4.05MB / 7.4MB      61.5MB / 1.79MB     85
c841643e69d3        neo4j               0.53%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.39%               57.64MiB / 2GiB     2.81%               14.6MB / 1.38MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.18%               55.8MiB / 2GiB      2.72%               76.4MB / 542kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.60%               57.55MiB / 2GiB     2.81%               14.9MB / 1.5MB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               68.76MiB / 2GiB     3.36%               81.4MB / 643kB      549MB / 15.8MB      6
ea2d413f4413        storm               44.27%              677.8MiB / 2GiB     33.09%              76.2MB / 4.57MB     663MB / 68.3MB      155
283acd69188f        kafka               1.15%               376.5MiB / 2GiB     18.38%              4.23MB / 7.74MB     61.5MB / 1.84MB     85
c841643e69d3        neo4j               0.29%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.64%               57.71MiB / 2GiB     2.82%               14.7MB / 1.45MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               52.76MiB / 2GiB     2.58%               81.2MB / 586kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.42%               57.65MiB / 2GiB     2.82%               15.1MB / 1.57MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.18%               68.79MiB / 2GiB     3.36%               84MB / 659kB        549MB / 15.8MB      6
ea2d413f4413        storm               44.33%              678.1MiB / 2GiB     33.11%              76.5MB / 4.76MB     663MB / 68.5MB      155
283acd69188f        kafka               1.33%               376.5MiB / 2GiB     18.38%              4.42MB / 8.07MB     61.5MB / 1.89MB     85
c841643e69d3        neo4j               0.32%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.56%               57.76MiB / 2GiB     2.82%               14.9MB / 1.53MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.02%               52.76MiB / 2GiB     2.58%               84.2MB / 601kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.40%               57.69MiB / 2GiB     2.82%               15.4MB / 1.65MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.17%               72.32MiB / 2GiB     3.53%               89.4MB / 706kB      549MB / 15.8MB      6
ea2d413f4413        storm               50.98%              680.2MiB / 2GiB     33.22%              76.9MB / 4.98MB     663MB / 68.7MB      155
283acd69188f        kafka               1.15%               376.5MiB / 2GiB     18.38%              4.64MB / 8.48MB     61.5MB / 1.95MB     85
c841643e69d3        neo4j               0.33%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.42%               57.83MiB / 2GiB     2.82%               15.1MB / 1.61MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               52.76MiB / 2GiB     2.58%               87.2MB / 617kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.46%               57.69MiB / 2GiB     2.82%               15.7MB / 1.73MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.14%               72.31MiB / 2GiB     3.53%               92.4MB / 724kB      549MB / 15.8MB      6
