CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
ea2d413f4413        storm               46.50%              1.884GiB / 3GiB     62.81%              463MB / 297MB       665MB / 109MB       157
283acd69188f        kafka               1.46%               992.5MiB / 2GiB     48.46%              58MB / 97.1MB       61.6MB / 13MB       85
c841643e69d3        neo4j               86.50%              793.5MiB / 2GiB     38.74%              242MB / 333MB       28.8MB / 1.46GB     51
c715a2a42078        producer5           0.01%               65.48MiB / 2GiB     3.20%               19.2MB / 7.08MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.6MB / 6.73MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               50.73%              1.885GiB / 3GiB     62.83%              464MB / 298MB       665MB / 109MB       157
283acd69188f        kafka               1.55%               992.5MiB / 2GiB     48.46%              58.2MB / 97.5MB     61.6MB / 13.1MB     85
c841643e69d3        neo4j               49.94%              793.1MiB / 2GiB     38.73%              243MB / 334MB       28.8MB / 1.47GB     46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               19.2MB / 7.09MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.6MB / 6.75MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               44.36%              1.885GiB / 3GiB     62.82%              466MB / 299MB       665MB / 109MB       157
283acd69188f        kafka               1.53%               992.6MiB / 2GiB     48.47%              58.4MB / 97.9MB     61.6MB / 13.1MB     85
c841643e69d3        neo4j               126.26%             793.3MiB / 2GiB     38.74%              244MB / 335MB       28.8MB / 1.48GB     47
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               19.2MB / 7.11MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.6MB / 6.77MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               49.41%              1.885GiB / 3GiB     62.83%              467MB / 300MB       665MB / 109MB       157
283acd69188f        kafka               1.67%               992.6MiB / 2GiB     48.47%              58.7MB / 98.2MB     61.6MB / 13.2MB     85
c841643e69d3        neo4j               52.97%              793.4MiB / 2GiB     38.74%              245MB / 336MB       28.8MB / 1.48GB     47
c715a2a42078        producer5           0.01%               65.5MiB / 2GiB      3.20%               19.2MB / 7.13MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.6MB / 6.79MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               48.28%              1.885GiB / 3GiB     62.82%              469MB / 301MB       665MB / 110MB       157
283acd69188f        kafka               1.26%               992.6MiB / 2GiB     48.47%              58.9MB / 98.6MB     61.6MB / 13.2MB     85
c841643e69d3        neo4j               87.92%              793.2MiB / 2GiB     38.73%              246MB / 337MB       28.8MB / 1.48GB     46
c715a2a42078        producer5           0.27%               65.53MiB / 2GiB     3.20%               19.2MB / 7.15MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.6MB / 6.81MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.66%              1.885GiB / 3GiB     62.83%              470MB / 302MB       665MB / 110MB       157
283acd69188f        kafka               1.27%               992.8MiB / 2GiB     48.48%              59.1MB / 99MB       61.6MB / 13.3MB     85
c841643e69d3        neo4j               90.13%              793.4MiB / 2GiB     38.74%              246MB / 338MB       28.8MB / 1.49GB     46
c715a2a42078        producer5           0.25%               65.48MiB / 2GiB     3.20%               19.2MB / 7.17MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.6MB / 6.83MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               40.39%              1.885GiB / 3GiB     62.83%              471MB / 303MB       665MB / 110MB       157
283acd69188f        kafka               1.21%               992.8MiB / 2GiB     48.48%              59.3MB / 99.4MB     61.6MB / 13.3MB     85
c841643e69d3        neo4j               85.11%              793.6MiB / 2GiB     38.75%              247MB / 339MB       28.8MB / 1.49GB     47
c715a2a42078        producer5           0.26%               65.61MiB / 2GiB     3.20%               19.2MB / 7.19MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.6MB / 6.85MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               50.23%              1.885GiB / 3GiB     62.83%              473MB / 304MB       665MB / 110MB       157
283acd69188f        kafka               1.20%               992.8MiB / 2GiB     48.48%              59.6MB / 99.8MB     61.6MB / 13.4MB     85
c841643e69d3        neo4j               101.85%             793.6MiB / 2GiB     38.75%              248MB / 341MB       28.8MB / 1.5GB      47
c715a2a42078        producer5           0.03%               65.53MiB / 2GiB     3.20%               19.2MB / 7.22MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.6MB / 6.87MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               46.72%              1.885GiB / 3GiB     62.82%              474MB / 305MB       665MB / 110MB       157
283acd69188f        kafka               1.37%               992.8MiB / 2GiB     48.48%              59.8MB / 100MB      61.6MB / 13.4MB     85
c841643e69d3        neo4j               88.43%              793.8MiB / 2GiB     38.76%              249MB / 342MB       28.8MB / 1.52GB     47
c715a2a42078        producer5           0.01%               65.5MiB / 2GiB      3.20%               19.2MB / 7.24MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.26%               63.53MiB / 2GiB     3.10%               17.6MB / 6.89MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               50.19%              1.885GiB / 3GiB     62.83%              476MB / 307MB       665MB / 110MB       157
283acd69188f        kafka               1.48%               992.8MiB / 2GiB     48.48%              60MB / 101MB        61.6MB / 13.5MB     85
c841643e69d3        neo4j               90.18%              793.7MiB / 2GiB     38.76%              251MB / 344MB       28.8MB / 1.52GB     46
c715a2a42078        producer5           0.01%               65.48MiB / 2GiB     3.20%               19.2MB / 7.26MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.03%               63.43MiB / 2GiB     3.10%               17.6MB / 6.91MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               40.31%              1.885GiB / 3GiB     62.83%              478MB / 308MB       665MB / 111MB       157
283acd69188f        kafka               1.29%               992.8MiB / 2GiB     48.48%              60.3MB / 101MB      61.6MB / 13.5MB     85
c841643e69d3        neo4j               60.72%              793.8MiB / 2GiB     38.76%              252MB / 345MB       28.8MB / 1.53GB     46
c715a2a42078        producer5           0.01%               65.5MiB / 2GiB      3.20%               19.2MB / 7.28MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.6MB / 6.93MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               42.32%              1.884GiB / 3GiB     62.81%              479MB / 309MB       665MB / 111MB       157
283acd69188f        kafka               1.21%               992.8MiB / 2GiB     48.48%              60.5MB / 101MB      61.6MB / 13.6MB     85
c841643e69d3        neo4j               84.91%              793.9MiB / 2GiB     38.77%              252MB / 346MB       28.8MB / 1.53GB     46
c715a2a42078        producer5           0.26%               65.5MiB / 2GiB      3.20%               19.2MB / 7.3MB      4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.6MB / 6.95MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               52.25%              1.885GiB / 3GiB     62.83%              480MB / 310MB       665MB / 111MB       157
283acd69188f        kafka               1.07%               992.8MiB / 2GiB     48.48%              60.7MB / 102MB      61.6MB / 13.6MB     85
c841643e69d3        neo4j               162.63%             794MiB / 2GiB       38.77%              253MB / 347MB       28.8MB / 1.54GB     46
c715a2a42078        producer5           0.03%               65.48MiB / 2GiB     3.20%               19.2MB / 7.32MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.25%               63.53MiB / 2GiB     3.10%               17.6MB / 6.97MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               50.87%              1.885GiB / 3GiB     62.83%              482MB / 311MB       665MB / 111MB       157
283acd69188f        kafka               1.40%               992.8MiB / 2GiB     48.48%              60.9MB / 102MB      61.6MB / 13.7MB     85
c841643e69d3        neo4j               0.35%               793.8MiB / 2GiB     38.76%              254MB / 349MB       28.8MB / 1.54GB     46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               19.2MB / 7.34MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.02%               63.43MiB / 2GiB     3.10%               17.6MB / 6.99MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               60.04%              1.885GiB / 3GiB     62.83%              483MB / 312MB       665MB / 111MB       157
283acd69188f        kafka               1.76%               992.8MiB / 2GiB     48.48%              61.2MB / 102MB      61.6MB / 13.7MB     85
c841643e69d3        neo4j               0.32%               794MiB / 2GiB       38.77%              255MB / 350MB       28.8MB / 1.55GB     47
c715a2a42078        producer5           0.01%               65.48MiB / 2GiB     3.20%               19.2MB / 7.36MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.04%               63.42MiB / 2GiB     3.10%               17.6MB / 7.02MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               42.86%              1.885GiB / 3GiB     62.83%              485MB / 313MB       665MB / 112MB       157
283acd69188f        kafka               1.67%               992.8MiB / 2GiB     48.48%              61.4MB / 103MB      61.6MB / 13.8MB     85
c841643e69d3        neo4j               172.38%             794.1MiB / 2GiB     38.77%              256MB / 351MB       28.8MB / 1.55GB     46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               19.2MB / 7.38MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.7MB / 7.04MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               45.96%              1.885GiB / 3GiB     62.83%              486MB / 315MB       665MB / 112MB       157
283acd69188f        kafka               1.28%               992.8MiB / 2GiB     48.48%              61.6MB / 103MB      61.6MB / 13.8MB     85
c841643e69d3        neo4j               79.38%              794.3MiB / 2GiB     38.78%              257MB / 352MB       28.8MB / 1.56GB     46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               19.2MB / 7.4MB      4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.7MB / 7.06MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               45.29%              1.885GiB / 3GiB     62.83%              488MB / 316MB       665MB / 112MB       157
283acd69188f        kafka               1.32%               992.8MiB / 2GiB     48.48%              61.9MB / 104MB      61.6MB / 13.9MB     85
c841643e69d3        neo4j               62.74%              794.3MiB / 2GiB     38.79%              258MB / 354MB       28.8MB / 1.57GB     47
c715a2a42078        producer5           0.26%               65.61MiB / 2GiB     3.20%               19.2MB / 7.42MB     4.1kB / 15.8MB      9
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.7MB / 7.08MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               43.96%              1.885GiB / 3GiB     62.83%              490MB / 317MB       665MB / 112MB       157
283acd69188f        kafka               1.12%               992.8MiB / 2GiB     48.48%              62.1MB / 104MB      61.6MB / 13.9MB     85
c841643e69d3        neo4j               102.04%             794.5MiB / 2GiB     38.80%              260MB / 356MB       28.8MB / 1.57GB     48
c715a2a42078        producer5           0.03%               65.59MiB / 2GiB     3.20%               19.2MB / 7.44MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.7MB / 7.1MB      156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               45.16%              1.885GiB / 3GiB     62.83%              492MB / 319MB       665MB / 112MB       157
283acd69188f        kafka               1.14%               992.8MiB / 2GiB     48.48%              62.3MB / 104MB      61.6MB / 14MB       85
c841643e69d3        neo4j               158.07%             794.5MiB / 2GiB     38.80%              261MB / 357MB       28.8MB / 1.58GB     46
c715a2a42078        producer5           0.27%               65.59MiB / 2GiB     3.20%               19.2MB / 7.46MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.7MB / 7.12MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               45.13%              1.885GiB / 3GiB     62.83%              493MB / 320MB       665MB / 112MB       157
283acd69188f        kafka               1.20%               992.8MiB / 2GiB     48.48%              62.5MB / 105MB      61.6MB / 14MB       85
c841643e69d3        neo4j               120.51%             794.5MiB / 2GiB     38.79%              261MB / 358MB       28.8MB / 1.58GB     46
c715a2a42078        producer5           0.30%               65.46MiB / 2GiB     3.20%               19.2MB / 7.48MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.7MB / 7.14MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               49.21%              1.885GiB / 3GiB     62.83%              494MB / 321MB       665MB / 113MB       157
283acd69188f        kafka               1.07%               992.8MiB / 2GiB     48.48%              62.8MB / 105MB      61.6MB / 14MB       85
c841643e69d3        neo4j               87.15%              794.4MiB / 2GiB     38.79%              262MB / 359MB       28.8MB / 1.59GB     46
c715a2a42078        producer5           0.27%               65.61MiB / 2GiB     3.20%               19.3MB / 7.5MB      4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.7MB / 7.16MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               55.05%              1.885GiB / 3GiB     62.83%              496MB / 322MB       665MB / 113MB       157
283acd69188f        kafka               1.10%               992.9MiB / 2GiB     48.48%              63MB / 105MB        61.6MB / 14.1MB     85
c841643e69d3        neo4j               96.69%              794.6MiB / 2GiB     38.80%              263MB / 361MB       28.8MB / 1.59GB     46
c715a2a42078        producer5           0.27%               65.57MiB / 2GiB     3.20%               19.3MB / 7.52MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.7MB / 7.18MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               46.80%              1.885GiB / 3GiB     62.83%              498MB / 323MB       665MB / 113MB       157
283acd69188f        kafka               1.20%               992.9MiB / 2GiB     48.48%              63.2MB / 106MB      61.6MB / 14.1MB     85
c841643e69d3        neo4j               88.69%              794.7MiB / 2GiB     38.80%              264MB / 362MB       28.8MB / 1.6GB      46
c715a2a42078        producer5           0.26%               65.46MiB / 2GiB     3.20%               19.3MB / 7.54MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.7MB / 7.2MB      156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               54.61%              1.885GiB / 3GiB     62.83%              499MB / 324MB       665MB / 113MB       157
283acd69188f        kafka               1.34%               992.9MiB / 2GiB     48.48%              63.4MB / 106MB      61.6MB / 14.2MB     85
c841643e69d3        neo4j               32.22%              794.6MiB / 2GiB     38.80%              265MB / 363MB       28.8MB / 1.6GB      46
c715a2a42078        producer5           0.02%               65.48MiB / 2GiB     3.20%               19.3MB / 7.56MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.7MB / 7.22MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               54.21%              1.885GiB / 3GiB     62.83%              500MB / 325MB       665MB / 113MB       157
283acd69188f        kafka               1.44%               992.9MiB / 2GiB     48.48%              63.7MB / 107MB      61.6MB / 14.2MB     85
c841643e69d3        neo4j               112.91%             795.2MiB / 2GiB     38.83%              266MB / 365MB       28.8MB / 1.62GB     47
c715a2a42078        producer5           0.03%               65.48MiB / 2GiB     3.20%               19.3MB / 7.58MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.7MB / 7.23MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               51.40%              1.885GiB / 3GiB     62.83%              502MB / 326MB       665MB / 113MB       157
283acd69188f        kafka               1.38%               992.9MiB / 2GiB     48.48%              63.9MB / 107MB      61.6MB / 14.3MB     85
c841643e69d3        neo4j               171.48%             795.3MiB / 2GiB     38.84%              267MB / 366MB       28.8MB / 1.62GB     47
c715a2a42078        producer5           0.04%               65.46MiB / 2GiB     3.20%               19.3MB / 7.6MB      4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.7MB / 7.26MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               58.30%              1.885GiB / 3GiB     62.82%              503MB / 328MB       665MB / 114MB       157
283acd69188f        kafka               1.38%               992.9MiB / 2GiB     48.48%              64.1MB / 107MB      61.6MB / 14.3MB     85
c841643e69d3        neo4j               87.09%              795.2MiB / 2GiB     38.83%              268MB / 367MB       28.8MB / 1.63GB     46
c715a2a42078        producer5           0.03%               65.48MiB / 2GiB     3.20%               19.3MB / 7.62MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.7MB / 7.27MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               55.58%              1.884GiB / 3GiB     62.81%              505MB / 329MB       665MB / 114MB       157
283acd69188f        kafka               1.38%               992.9MiB / 2GiB     48.48%              64.3MB / 108MB      61.6MB / 14.4MB     85
c841643e69d3        neo4j               167.09%             795.3MiB / 2GiB     38.83%              269MB / 368MB       28.8MB / 1.64GB     46
c715a2a42078        producer5           0.03%               65.46MiB / 2GiB     3.20%               19.3MB / 7.64MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.7MB / 7.3MB      156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               49.92%              1.885GiB / 3GiB     62.83%              506MB / 330MB       665MB / 114MB       157
283acd69188f        kafka               1.57%               993MiB / 2GiB       48.49%              64.6MB / 108MB      61.6MB / 14.4MB     85
c841643e69d3        neo4j               96.67%              795.4MiB / 2GiB     38.84%              270MB / 369MB       28.8MB / 1.64GB     46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               19.3MB / 7.66MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.30%               63.45MiB / 2GiB     3.10%               17.7MB / 7.32MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.10%              1.884GiB / 3GiB     62.81%              508MB / 331MB       665MB / 114MB       157
283acd69188f        kafka               1.41%               992.9MiB / 2GiB     48.48%              64.8MB / 109MB      61.6MB / 14.5MB     85
c841643e69d3        neo4j               0.32%               795.4MiB / 2GiB     38.84%              271MB / 371MB       28.8MB / 1.65GB     46
c715a2a42078        producer5           0.01%               65.45MiB / 2GiB     3.20%               19.3MB / 7.68MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.27%               63.45MiB / 2GiB     3.10%               17.7MB / 7.34MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               42.98%              1.885GiB / 3GiB     62.83%              509MB / 332MB       665MB / 114MB       157
283acd69188f        kafka               1.42%               992.9MiB / 2GiB     48.48%              65MB / 109MB        61.6MB / 14.5MB     85
c841643e69d3        neo4j               95.55%              795.6MiB / 2GiB     38.85%              272MB / 372MB       28.8MB / 1.65GB     46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               19.3MB / 7.7MB      4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.26%               63.43MiB / 2GiB     3.10%               17.7MB / 7.36MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.63%              1.885GiB / 3GiB     62.83%              511MB / 334MB       665MB / 115MB       157
283acd69188f        kafka               1.32%               993MiB / 2GiB       48.49%              65.3MB / 109MB      61.6MB / 14.6MB     85
c841643e69d3        neo4j               0.87%               795.5MiB / 2GiB     38.84%              273MB / 374MB       28.8MB / 1.66GB     46
c715a2a42078        producer5           0.01%               65.48MiB / 2GiB     3.20%               19.3MB / 7.72MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.7MB / 7.38MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               53.50%              1.885GiB / 3GiB     62.82%              513MB / 335MB       665MB / 115MB       157
283acd69188f        kafka               1.22%               992.9MiB / 2GiB     48.48%              65.5MB / 110MB      61.6MB / 14.6MB     85
c841643e69d3        neo4j               107.81%             795.7MiB / 2GiB     38.85%              274MB / 375MB       28.8MB / 1.67GB     46
